"","processo","relator","palavras_chave","n_do_documento","data_do_acordao","votacao","meio_processual","sumario","decisao_texto"
"1","0003909","FARINHA RIBEIRAS","DETIDO; PRISÃO SEM CULPA FORMADA; APRESENTAÇÃO; PRAZO","RL197803070003909","03/07/1978","MAIORIA COM DEC VOT E VOT VENC","REC PENAL.","I - O prazo de apresentação ao juiz dos detidos sem culpa formada é improrrogável, e essa prisão preventiva caduca insanavelmente se tal prazo não for respeitado, pelo que o preso deve ser, em tais circunstâncias, imediatamente restituído à liberdade, salvo se o juiz decrete, ele próprio, a prisão, com fundamento em razões de premente e inadiável necessidade, cumulando assim anomalamente as funções de captor e de fiscal da legalidade da captura.; II - Quando se verifique excesso de prazo de prisão preventiva (seja no prazo de apresentação ao juiz, seja no prazo máximo fixado pela lei para a instrução processual), além da imediata libertação do detido, há também lugar à aplicação de sanções disciplinares contra o funcionário ou funcionários prevaricadores, por com esse excesso de prisão se violar a garantia constitucional do direito à liberdade dos cidadãos.",NA
"2","0017749","BORDALO SOARES","PROCESSO DE ADOPÇÃO; PODERES DO TRIBUNAL; CONSENTIMENTO PARA ADOPÇÃO","RL197803070017749","03/07/1978","UNANIMIDADE","APELAÇÃO.","I - Em jurisdição voluntária especializada, como é o caso em processo de adopção, o tribunal não está apenas sujeito a critérios rigorosos de legalidade estrita, pois pode socorrer-se de critérios de equidade. Da simbiose destes dois critérios diferentes deverá resultar a decisão mais adequada à defesa dos superiores interesses do menor adoptando.; II - A lei actual não exige sempre o consentimento dos pais do adoptando; tal acontece, designadamente, quando os pais do adoptando por seu manifesto desinteresse demonstrado pelo filho, tornam sem significado ou real valor a sua oposição.; III - Assim e relativamente a pais que poucos dias após seu nascimento, entregaram o filho à requerente da adopção, durante dez anos nenhum caso fizeram dele, mas se opoem à adopção, apenas por não terem informado para onde a adoptando mudou a sua residência, é irrelevante a sua oposição, devendo ser admitida a adopção.",NA
"3","0007324","PINTO FURTADO","COMPRA E VENDA; CONTRATO-PROMESSA; CUMPRIMENTO IMPERFEITO; RESOLUÇÃO; MORA; INCUMPRIMENTO DO CONTRATO; SINAL; PERDA","RL197803030007324","03/03/1978","UNANIMIDADE","APELAÇÃO.","I - Uma vez que a coisa só pode qualificar-se de defeituosa quando sofra de vícios que a desvalorizem, não é de considerar cumprimento defeituoso, a entrega do apartamento contrato, apenas benfeitorizado com algumas melhorias que não afectaram a sua identidade ou as suas qualidades.; II - Um contrato-promessa de compra e venda não pode considerar-se automaticamente resolvido com o não cumprimento duma das partes, quando tal não tenha sido convencionado, pois a resolução terá de ser da iniciativa da parte inocente, através de declaração; à outra parte (artigo 436, 1 do Código Civil).; III - Esta declaração, na hipótese de incumprimento definitivo, pode fazer-se desde logo, com a falta de cumprimento que conduz à impossibilidade da prestação; na hipótese de simples mora, porque é caso de o cumprimento ainda poder fazer-se, apesar do atrazo, ou há-de primeiro objectivamente constatar-se a perda de interesse por banda do contraente inocente ou há-de este fazê-lo anteceder de um prazo suplementar razoável (artigo 808 do Código Civil).; IV - Não tendo o promitente vendedor resolvido o contrato, com fundamento em incumprimento definitivo ou em simples mora do promitente comprador, não pode pedir ao Tribunal a declaração de resolução, porque esta há-de ser obra sua, mas procede a segunda parte do seu pedido reconvencional em que solicitava a declaração de perda de sinal, porque esta é consequência de qualquer daqueles factos, independentemente da resolução.",NA
"4","0017817","SANTOS SILVEIRA","ACEITAÇÃO DA HERANÇA; REPÚDIO DA HERANÇA; INCIDENTES DA INSTÂNCIA; HABILITAÇÃO","RL197803010017817","03/01/1978","UNANIMIDADE","AGRAVO.","I - A aceitação tácita da herança tem de se traduzir por actos inequívocos, sendo suficiente um comportamento que, interpretado segundo a boa fé, com referência aos usos sociais, deixe entender a vontade de reter a herança.; II - Não é decisivo, nesse sentido, o facto de o sucessível ter participado às Finanças o falecimento do autor da herança, para instauração do processo de liquidação do imposto sucessório.; III - Mas traduz aceitação tácita o facto de o filho, após o falecimento do pai, ter continuado a utilizar o automóvel deste e a viver no andar que o falecido comprara, só tendo repudiado a herança passado um ano e depois de citado para a habilitação.; IV - Com a aceitação da herança, perde-se o direito de repúdio, pelo que este será ineficaz.",NA
"5","0074861","CAMPOS COSTA","RESPONSABILIDADE CIVIL CONTRATUAL; CULPA; PRESUNÇÃO DE CULPA; CLÁUSULA DE IRRESPONSABILIDADE; CONTRATO DE DEPÓSITO; CONTRATO INOMINADO; CONTRATO DE ADESÃO; ÓNUS DA ALEGAÇÃO; ÓNUS DA PROVA","RL197802280074861","02/28/1978","UNANIMIDADE","APELAÇÃO.","I - Na responsabilidade contratual, há uma presunção de culpa do devedor, e, para a ilidir, embora se não deva exigir uma prova absoluta da falta de culpa, não basta para o efeito que se não tenham provado os factos que o credor assacara ao devedor como reveladores da sua negligência.; II - Mercê do artigo 809 do Código Civil, são nulas as cláusulas que exonerem o devedor de responsabilidade contratual, em caso de culpa.; III - As cláusulas de irresponsabilidade não devem confundir- -se com as destinadas a diminuir o número das obrigações legais resultantes dos contratos e que são, em princípio, válidas.; IV - Á semelhança do que se tem entendido em França e na Alemanha, também entre nós o contrato de conservação de mercadorias em armazéns frigoríficos não deve ser considerado um normal contrato de depósito, mas um outro (de locação, por exemplo) ou mesmo de depósito, mas em que sobre o dono dos armazéns não recai a obrigação de velar pelo estado de boa conservação das mercadorias depositadas.; V - São irrelevantes as cláusulas apostas em contratos de adesão.; VI - Na responsabilidade contratual, cabe ao credor o ónus da alegação e o ónus da prova do tipo de negócio celebrado entre os contraentes e das obrigações dele resultantes, particularmente das que não tiverem sido cumpridas pelo devedor.",NA
"6","0012720","CORREIA DE PAIVA","ESTRANGEIRO; SUCESSÃO MORTIS CAUSA; LEI APLICÁVEL; LEGÍTIMA; ORDEM PÚBLICA","RL197802220012720","02/22/1978","UNANIMIDADE","AGRAVO","I - A sucessão por morte é regulada pela lei pessoal do autor da herança ao tempo do falecimento deste (Código Civil, artigo 62) o que significa que, em princípio, Portugal aceita e respeita a maneira como a lei pessoal do ""de cuius"" regular a sucessão.; II - Como limite à publicação de tal disposição, o artigo 22 do mesmo Código manda afastar a lei estrangeira indicada pela norma de conflitos quando essa aplicação envolve ofensa dos princípios fundamentais da ordem pública internacional do Estado português.; III - Deverão considerar-se leis de ordem pública internacional as que se inspiram em razões políticas, ou em razões morais ou em razões económicas. A sua função é fundamentalmente obstativa - evitar a aplicação da lei estrangeira contrária a princípios fundamentais de direito português.; IV - O direito à legítima que a lei portuguesa atribui aos filhos perfilhados não confere a esta lei a qualidade de ordem pública.",NA
"7","0017788","CAMPOS COSTA","RESPONSABILIDADE CIVIL POR ACIDENTE DE VIAÇÃO; SEGURO AUTOMÓVEL; REBOQUE; CONCORRÊNCIA DE CULPAS; GRADUAÇÃO DE CULPAS; DANOS MORAIS; DIREITO À VIDA; PERDA","RL197802210017788","02/21/1978","UNANIMIDADE","APELAÇÃO.","I - Em acidente de viação com intervenção de um automóvel com reboque, apesar de o automóvel e o reboque terem apólices distintas e por valores diferentes, a responsabilidade da seguradora pelos danos causados a terceiros não se circunscreve ao valor do seguro do automóvel, mas também ao do reboque, devido ao maior peso bruto do conjunto.; II - Se o pai, como representante de filhos menores, exigir uma indemnização pelos danos causados aos seus filhos, por acidente em que ele também teve culpa, a despeito de o autor, pai, e o réu serem responsáveis solidários, a sentença só pode condenar o réu na parte que lhe cabe da indemnização, se o autor só tiver exigido essa parte, e não a totalidade, a fim de evitar o exercício subsequente do direito de regresso.; III - A perda de vida representa um dano não patrimonial sofrido pela vítima, susceptível de reparação autónoma, e transmite-se por via sucessória, mas para os familiares indicados no artigo 496, n. 2, do C.C..; IV - Em caso de morte, ao contrário da indemnização pelos danos não patrimoniais sofridos pela vítima (que é objecto de uma primeira fixação global, a repartir depois por cada um dos interessados), a indemnização pelos danos não patrimoniais sofridos pelas pessoas com direito á indemnização é calculada de acordo com os prejuízos sofridos concretamente por cada uma dessas pessoas.; V - A expressão em conjunto, do artigo 496, n. 2 do C.C., apenas quer significar que os descendentes não são chamados só na falta de cônjuge.; VI - Para determinar o grau de culpa de dois condutores, ambos culpados na produção de um acidente, deve saber-se, antes de mais, quais dos factos reveladores de culpa são mais graves, legal e abstractamente.",NA
"8","0018472","ALVES BRANCO","ESTUPRO; INVESTIGAÇÃO OFICIOSA DE PATERNIDADE; CASOS JULGADOS CONTRADITÓRIOS; LIMITES DO CASO JULGADO","RL197802150018472","02/15/1978","UNANIMIDADE","REC PENAL.","I - Em matéria de investigação de paternidade a verdade material não pode ficar à mercê da insuficiência dos elementos colhidos pelo Ministério Público.; II - Daí que a acção oficiosa não obste à instauração de nova acção, ainda que fundada nos mesmos factos.; III - A improcedência da mesma acção oficiosa não obsta também a que em processo penal o pretenso pai venha a ser condenado pelo crime de estupro e declarado autor da gravidez de que nasceu o menor por que se processou a acção oficiosa julgada improcedente.",NA
"9","0012802","BORDALO SOARES","EXECUÇÃO DE SENTENÇA; PENHORA; REMUNERAÇÃO; BENS COMUNS; EMBARGOS DE TERCEIRO; CÔNJUGE; ADMISSIBILIDADE","RL197802140012802","02/14/1978","UNANIMIDADE","AGRAVO.","Não é admissível, na penhora de vencimentos do executado, a dedução de embargos de terceiro, por parte do outro cônjuge.",NA
"10","0007421","PINTO FURTADO","ESTADO; MISERICÓRDIAS; SUCESSÃO LEGÍTIMA","RL197802030007421","02/03/1978","UNANIMIDADE","AGRAVO.","O art. 7 do Decreto-Lei n. 20285, de 7 de Setembro de 1931, devolvendo a sucessão ao estabelecimento de assistência da Santa Casa da Misericórdia em que se encontra internado o de cujus na data do seu falecimento, quando este não tenha deixado quaisquer parentes sucessíveis nem feito testamento, disciplina uma relação interorgânica do Estado, tendo assim natureza administrativa, pelo que não foi revogado pelo art. 3 do Decreto-Lei n. 47344, de 25 de Novembro de 1966, que abrangeu unicamente a legislação civil.",NA
